url	page_url	kind	fname	out_rel	size	status
http://czj.putian.gov.cn/ptczjup/file/20171117/20171117112820_3568.xlsx	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201706/t20170601_932979.htm	attachment	2016年度地方志决算表格	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201706/932979/attachments/2016年度地方志决算表格.xlsx	90992	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201706/W020180323528370174559.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201706/t20170602_933058.htm	attachment	U020180323528368610546.xls	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201706/933058/attachments/U020180323528368610546.xls	94208	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528557673900.xlsx	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	W020180323528557673900.xlsx	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/W020180323528557673900.xlsx	6046	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528557991826.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	1收支决算总表	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/1收支决算总表.xls	22528	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528557996975.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	2收入决算表	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/2收入决算表.xls	10240	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528558141537.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	W020180323528558141537.xls	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/W020180323528558141537.xls	10240	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528558142030.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	3.支出决算表	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/3.支出决算表	10240	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528558147174.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	W020180323528558147174.xls	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/W020180323528558147174.xls	10240	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528558147502.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	W020180323528558147502.xls	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/W020180323528558147502.xls	8192	done
http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323528558300133.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170911_933086.htm	attachment	4.财政拨款收入支出决算总表	ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/933086/attachments/4.财政拨款收入支出决算总表	8704	done
