kind	text	url
image		https://www.putian.gov.cn/public/images/gh_logo.png
image		https://www.putian.gov.cn/images/pts_logo.png
image		https://www.putian.gov.cn/images/20201014-top-icon03.png
image		https://www.putian.gov.cn/images/20201014-banner.png
image		https://www.putian.gov.cn/images/20200907-dui-san.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/images/20201014-xltp01.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/images/20201014-xltp02.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/images/20201014-xltp04.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/images/20201014-xltp05.png
image		https://www.putian.gov.cn/images/20201014-ga.png
link	| 莆田市审计局	https://www.putian.gov.cn/
link	政府信息 公开指南	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgkzn/
link	政府信息 公开制度	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgkzd/
link	法定主动 公开内容	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknrf/
link	政府信息 公开年报	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgknb/
link	政府信息 公开申请	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/gksq/
link	全部	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknr/
link	机构设置、主要职能、人事任免	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknr/bdwldjgszzyznsjlc/
link	审计报告、整改落实情况	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknr/shgysyjs/
link	发展规划、业务管理	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknr/fzgh/
link	其他应主动公开信息	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/fdzdgknr/qtyzdgkxx/
link	首页	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/
link	政府信息公开	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/
link	联系我们	https://www.putian.gov.cn/bzzx/lxwm/201406/t20140616_148567.htm
link	使用帮助	https://www.putian.gov.cn/bzzx/sybz/201510/t20151028_233166.htm
link	隐私保护	https://www.putian.gov.cn/bzzx/ysbh/
link	网站地图	https://www.putian.gov.cn/bzzx/wzdt/
