kind	text	url
image		https://www.putian.gov.cn/public/images/gh_logo.png
image		https://www.putian.gov.cn/images/pts_logo.png
image		https://www.putian.gov.cn/images/20201014-top-icon03.png
image		https://www.putian.gov.cn/images/20201014-banner.png
image		https://www.putian.gov.cn/images/20200907-dui-san.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/images/20201014-xltp01.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/images/20201014-xltp02.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/images/20201014-xltp04.png
image		https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/images/20201014-xltp05.png
image		https://www.putian.gov.cn/images/20201014-ga.png
link	| 莆田市体育局	https://www.putian.gov.cn/
link	政府信息 公开指南	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/zfxxgkzn/
link	政府信息 公开制度	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/zfxxgkzd/
link	政府信息 公开年报	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/zfxxgknb/
link	政府信息 公开申请	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/gksq/
link	政策解读	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zcjd/
link	行政规范性文件	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/xzgfxwj/
link	全部	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/
link	机构设置、职能	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/jgszzyzn/
link	竞技体育、体育产业等工作情况	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/gzdt/
link	社会公益事业建设	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/shgysyjs/
link	应急预案、安全工作	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/yjyaaqgzdt/
link	行政规范性文件	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/fdzdgknr/zcfggzgfxw/
link	体育专题	https://www.putian.gov.cn/ztzl/tyxxzt/
link	首页	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/
link	政府信息公开	https://www.putian.gov.cn/zfxxgk/bmzfxxgk/ptstyj/zfxxgk/
link	联系我们	https://www.putian.gov.cn/bzzx/lxwm/201406/t20140616_148567.htm
link	使用帮助	https://www.putian.gov.cn/bzzx/sybz/201510/t20151028_233166.htm
link	隐私保护	https://www.putian.gov.cn/bzzx/ysbh/
link	网站地图	https://www.putian.gov.cn/bzzx/wzdt/
