kind	text	url
link	、学习《青山绿水忆英魂---廖俊波同志先进事迹材料汇编》：	http://news.12371.cn/2016/04/21/ARTI1461190368550348.shtml
link	《习近平谈治国理政》	http://syss.12371.cn/2015/05/15/ARTI1431670482542560.shtml
link	3、《习近平总书记系列重要讲话读本》：新的历史条件下治国理政总方略	http://news.12371.cn/2016/04/22/ARTI1461269921524107.shtml
link	中国共产党廉洁自律准则	http://news.12371.cn/2015/10/22/ARTI1445481444215144.shtml
link	干部的基本功	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_4.shtml
link	廉政建设是共产党人的历史使命	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_5.shtml
link	党组工作条例(试行)	http://news.12371.cn/2016/03/17/ARTI1458195284037340.shtml
link	中国共产党纪律处分条例	http://www.12371.cn/special/zggcdjlcftl/jlcftl
link	滴水穿石的启示	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_8.shtml
link	把心贴近人民	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_9.shtml
link	为官一场 造福一方	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_10.shtml
link	从政杂谈	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_6.shtml
link	秘书工作的风范	http://fuwu.12371.cn/2014/10/27/ARTI1414381442463977_7.shtml
