kind	text	url
attachment	[原件]2018年莆政〔2018〕65号.pdf	https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/P020230712635560152808.pdf
attachment	各县区禁燃区域图.doc	https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/P020190107347738493804.doc
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616840740814.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616840911397.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616841089561.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616841760606.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616842033533.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616842218692.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616842383432.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616842648401.png
image		https://www.putian.gov.cn/zfxxgk/szfwj/fggz/201901/W020250922616842815074.png
