kind	text	url
link	第一章 发展形势与发展需求  5	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826217
link	一、 发展现状    5	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826218
link	二、发展机遇    11	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826219
link	第二章 指导思想和发展目标  13	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826220
link	一、指导思想    13	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826221
link	二、基本原则    13	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826222
link	三、发展目标    14	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826223
link	第三章 主要任务  17	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826224
link	一、完善信息网络基础建设，实现设施建设跨越发展    17	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826225
link	二、深化电子政务资源整合，促进业务协同跨越发展    19	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826226
link	三、扎实推进智慧城市建设，加快社会应用跨越发展    20	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826227
link	四、加快产业结构转型升级，助推信息经济跨越发展    22	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826228
link	五、持续不断优化发展环境，推进措施保障跨越发展    25	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826229
link	第四章　重点工程  27	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826230
link	一、打好一个基础    27	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826231
link	二、构筑三个中心    28	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826232
link	三、搭建三个平台    30	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826233
link	四、打造八大工程    31	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826234
link	第五章　保障措施  37	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826235
link	一、健全管理体制，完善长效机制    37	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826236
link	二、采取有效措施，保障信息安全    38	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826237
link	三、整合信息资源，强化业务协同    38	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826238
link	四、加快人才培养，提高综合素质    39	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826239
link	附件：“十二五”信息化发展专项规划重点项目表    40	http://xxgk.putian.gov.cn/manage/eWebEditor/ewebeditor.htm?id=Content&style=coolblue#_Toc297826240
link	城市运行	http://baike.baidu.com/view/2446761.htm
