kind	text	url
link	1 总则 ............................................................................................................................ - 5 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098708
link	1.1 编制目的 ............................................................................................................ - 5 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098709
link	1.2 编制依据 ............................................................................................................ - 5 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098710
link	1.3 适用范围 ............................................................................................................ - 6 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098711
link	1.4 空气污染分级 ..................................................................................................... - 6 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098712
link	1.5 工作原则 ............................................................................................................ - 6 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098713
link	1.6 预案体系与应急预案关系说明 ........................................................................... - 7 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098714
link	2 组织机构与职责 ....................................................................................................... - 8 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098715
link	2.2 办事机构及职责 ............................................................................................... - 10 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098716
link	2.3 指挥部成员职责 ............................................................................................... - 13 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098717
link	3 监测、报告与信息发布 ........................................................................................ - 18 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098718
link	3.1 监测 .................................................................................................................. - 18 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098719
link	3.2 报告与信息发布 ............................................................................................... - 19 -	https://www.putian.gov.cn/zfxxgk/szfwj/gzdt/201707/t20170728_624129.htm#_Toc487098720
