kind	text	url
image		http://czj.putian.gov.cn/images/20201014-top-icon03.png
image		http://czj.putian.gov.cn/images/20201014-banner.png
image		http://czj.putian.gov.cn/images/20200907-dui-san.png
image		http://czj.putian.gov.cn/images/20201014-ga.png
link	莆田市财政局	http://czj.putian.gov.cn/
link	政府信息 公开指南	http://czj.putian.gov.cn/zfxxgk/zfxxgkzn/
link	政府信息 公开制度	http://czj.putian.gov.cn/zfxxgk/zfxxgkzd/
link	政府信息 公开年报	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/
link	政府信息 公开申请	http://czj.putian.gov.cn/zfxxgk/gksq/
link	行政规范性文件	http://czj.putian.gov.cn/zfxxgk/xzgfxwj/
link	全部	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/
link	政策法规（规定、条例、标准、方案）	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/zcfg/
link	工作情况（计划、总结、预案）	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/gzdt/
link	资金监管（政府采购、财政收入、财务管理）	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/zjjg/
link	民众问题（扶贫、教育、医疗、社保、社会公益）	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/mzwt/
link	规范性文件	http://czj.putian.gov.cn/zfxxgk/fdzdgknr/gfxwj/
link	莆田市财政局2025年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202601/t20260120_2077249.htm
link	莆田市财政局2024年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202501/t20250121_1971016.htm
link	莆田市财政局2023年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202401/t20240119_1899606.htm
link	莆田市财政局2022年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202301/t20230113_1794696.htm
link	莆田市财政局2021年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202201/t20220119_1699936.htm
link	莆田市财政局2020年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202104/t20210416_1589275.htm
link	莆田市财政局2019年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/202001/t20200117_1441072.htm
link	莆田市财政局2018年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201901/t20190122_1297092.htm
link	莆田市财政局2017年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934581.htm
link	莆田市财政局2016年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934579.htm
link	莆田市财政局2015年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934578.htm
link	莆田市财政局2014年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934576.htm
link	莆田市财政局2013年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934573.htm
link	莆田市财政局2012年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934570.htm
link	莆田市财政局2011年政府信息公开工作年度报告	http://czj.putian.gov.cn/zfxxgk/zfxxgknb/201803/t20180326_934571.htm
link	闽ICP备09001227号	https://beian.miit.gov.cn
link	闽公网安备 35030002001090号	http://www.beian.gov.cn/portal/registerSystemInfo?recordcode=35030002001090
