kind	text	url
link	首页	http://czj.putian.gov.cn/
link	专题栏目	http://czj.putian.gov.cn/ztlm/
link	市级预决算公开平台	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/
link	部门预决算公开	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/
link	部门决算	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/
link	T	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/t20170925_932969.htm
attachment	U020180323527573457291.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584390283.xls
attachment	U020180323527575024315.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584399520.xls
attachment	U020180323527576119969.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584551754.xls
attachment	U020180323527577362590.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584557376.xls
attachment	U020180323527578301013.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584551817.xls
attachment	U020180323527578924117.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584559453.xls
attachment	U020180323527579556476.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584559577.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584555682.xls
attachment	U020180323527580950353.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584554762.xls
attachment	U020180323527581584972.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584706969.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584702803.xls
attachment	U020180323527582998762.xls	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmjs/201709/W020180323527584705627.xls
