kind	text	url
link	首页	http://czj.putian.gov.cn/
link	专题栏目	http://czj.putian.gov.cn/ztlm/
link	市级预决算公开平台	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/
link	部门预决算公开	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/
link	部门预算	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/
link	T	http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/t20170607_933390.htm
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004242544.xls
attachment	2017年度收支预算总表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105318_9841.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004241647.xls
attachment	2017年度收入预算总表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105330_2810.xls
attachment	2017年度支出预算总表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105358_7810.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004392470.xls
attachment	2017年度财政拨款收支预算总表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105442_5622.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004395681.xls
attachment	2017年度一般公共预算拨款支出预算表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105458_9841.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004398939.xls
attachment	2017年度政府性基金拨款支出预算表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105519_4685.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004391776.xls
attachment	2017年度一般公共预算支出经济分类情况表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105540_3747.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004391371.xls
attachment		http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105551_6716.xls
attachment		http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105603_9372.xls
attachment		http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105615_1247.xls
attachment	2017年度一般公共预算基本支出经济分类情况表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105624_5935.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004550259.xls
attachment	2017年度一般公共预算“三公”经费支出预算表	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105633_2497.xls
attachment		http://czj.putian.gov.cn/ztlm/sjyjsgkpt/bmyjsgk/bmys/201706/W020180323533004558231.xls
attachment	2017年度部门专项资金管理清单目录	http://czj.putian.gov.cn/ptczjup/file/20171107/20171107105653_3747.xls
