kind	text	url
link	中共莆田市工业和信息化局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974322.htm
link	中共莆田市二轻工业联社党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974323.htm
link	中共莆田高新技术产业开发区工作委员会关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974324.htm
link	中共莆田市委党校（莆田市行政学院）关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250217_1974539.htm
link	中共莆田市体育局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974326.htm
link	中共莆田市红十字会党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974327.htm
link	中共莆田市委统战部关于巡察整改情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250217_1974541.htm
link	中共莆田市工商业联合会党组关于巡察整改情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974328.htm
link	共青团莆田市委书记会关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974329.htm
link	中共莆田市妇联党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974330.htm
link	中共莆田市委台湾工作办公室关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974331.htm
link	中共莆田市委老干部局关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250217_1974542.htm
link	中共莆田市委政法委员会关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974332.htm
link	中共莆田市审计局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974333.htm
link	中共莆田市民族与宗教事务局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974334.htm
link	中共莆田市司法局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974335.htm
link	中共莆田市档案馆党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974336.htm
link	中共莆田市住房公积金管理中心支部委员会关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974337.htm
link	中共莆田市贸促会党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974338.htm
link	中共莆田市农业农村局党组关于巡察整改进展情况的通报	http://www.ptcdi.gov.cn/xxgk/xcgz/202502/t20250215_1974339.htm
